4.00,-24.02,0.97
4.01,12.49,1.35
4.01,-62.16,1.01
4.02,-61.08,0.88
4.05,5.99,1.18
4.08,22.08,1.04
4.11,50.35,1.07
4.14,47.71,1.16
4.18,-41.99,0.89
4.20,-6.84,1.14
4.23,9.26,0.91
4.23,-42.29,1.20
4.24,-10.26,0.90
4.24,-62.47,1.38
4.25,40.48,0.95
4.25,48.41,1.11
4.25,-7.64,1.02
4.26,8.89,1.07
4.27,-51.49,1.07
4.27,-59.30,1.02
4.29,20.58,0.89
4.30,-33.80,1.30
4.30,50.30,0.97
4.33,15.63,1.27
4.34,27.35,0.88
4.34,34.57,0.89
4.36,46.50,0.92
4.38,17.54,1.22
4.40,-34.02,1.16
4.40,17.44,0.92
4.42,22.29,1.08
4.42,17.93,1.06
4.44,22.81,1.06
4.44,15.62,1.01
4.44,14.71,0.95
4.47,16.36,0.88
4.48,15.96,1.20
4.48,19.18,1.31
4.48,15.87,1.36
4.51,16.19,0.93
4.53,-0.04,0.89
4.56,-29.77,1.00
4.56,14.84,0.96
4.57,-55.05,1.39
4.59,-30.56,1.21
4.59,10.16,1.07
4.60,16.51,2.74
4.61,-3.35,1.17
4.61,41.26,1.07
4.64,12.51,1.07
4.64,-14.30,1.19
4.65,-12.12,0.87
4.65,15.92,0.95
4.67,-19.67,1.05
4.68,-41.86,1.02
4.70,22.96,1.07
4.76,-3.25,1.15
4.83,6.96,1.44
4.83,37.49,0.90
4.84,8.90,1.04
4.85,5.61,1.26
4.88,14.25,0.94
4.88,36.70,0.92
4.88,-5.45,1.04
4.90,66.34,1.07
4.90,2.44,1.24
4.91,10.15,0.96
4.94,13.51,1.13
4.95,33.17,1.65
4.95,53.75,1.02
4.98,1.71,1.01
4.99,37.89,0.89
5.00,-12.54,0.93
5.02,-20.05,0.89
5.02,-7.17,0.92
5.03,43.82,1.50
5.04,41.08,1.25
5.05,21.59,0.97
5.06,60.44,1.14
5.07,-35.48,0.99
5.08,15.40,0.96
5.09,-22.37,1.44
5.09,-57.47,0.94
5.11,41.23,1.44
5.11,51.60,0.88
5.12,18.65,0.89
5.13,-5.09,1.61
5.15,-8.75,1.07
5.16,15.60,0.92
5.20,-11.87,1.01
5.22,-16.21,1.40
5.22,-12.94,1.04
5.22,2.86,1.01
5.22,38.48,0.92
5.23,-67.19,0.92
5.24,-8.20,3.31
5.28,46.00,3.41
5.29,-34.89,0.92
5.29,-6.84,1.29
5.30,33.37,0.99
5.32,40.10,0.95
5.32,22.10,0.88
5.33,-13.18,1.06
5.34,-21.24,0.95
5.36,-0.38,0.94
5.38,3.54,0.87
5.40,-7.81,1.11
5.41,-2.40,1.38
5.41,1.85,0.90
5.42,6.35,2.21
5.44,28.61,2.20
5.45,3.10,0.98
5.46,21.94,0.90
5.47,-20.76,1.60
5.50,-1.09,0.94
5.51,5.95,1.09
5.52,-35.47,1.19
5.53,-7.30,0.97
5.53,-0.30,1.87
5.54,18.59,1.05
5.55,32.19,0.94
5.55,-17.82,1.70
5.56,-62.49,1.23
5.58,9.49,1.03
5.58,-6.00,0.93
5.59,9.93,1.36
